,title,director,writers,top_5_billed,rotten_tomato_rating,audience_rating
26,Transformers: Age of Extinction,['Michael Bay'],['Ehren Kruger'],"['Mark Wahlberg ', 'Jack Reynor ', 'Nicola Peltz ', 'Stanley Tucci ', 'Kelsey Grammer ']",18,50
27,X-Men: The Last Stand,['Brett Ratner'],"['Simon Kinberg', ' Zak Penn', ' Brett Ratner']","['Hugh Jackman ', 'Halle Berry ', 'Ian McKellen ', 'Patrick Stewart ', 'Famke Janssen ']",57,61
28,King Kong,['Peter Jackson'],"['Fran Walsh', ' Philippa Boyens', ' Peter Jackson']","['Naomi Watts ', 'Jack Black ', 'Adrien Brody ', 'Thomas Kretschmann ', 'Colin Hanks ']",84,50
29,The Golden Compass,['Chris Weitz'],"['Chris Weitz', ' Philip Pullman']","['Nicole Kidman ', 'Daniel Craig ', 'Dakota Blue Richards ', 'Sam Elliott ', 'Ben Walker ']",42,51
30,Titanic,['James Cameron'],['James Cameron'],"['Leonardo DiCaprio ', 'Kate Winslet ', 'Billy Zane ', 'Kathy Bates ', 'Frances Fisher ']",89,69
31,Incredibles 2,['Brad Bird'],['Brad Bird'],"['Craig T. Nelson ', 'Holly Hunter ', 'Sarah Vowell ', 'Huck Milner ', 'Catherine Keener ']",94,84
32,Rogue One: A Star Wars Story,['Gareth Edwards (V)'],"['George Lucas', ' Chris Weitz', ' Tony Gilroy']","['Felicity Jones ', 'Diego Luna ', 'Mads Mikkelsen ', 'Ben Mendelsohn ', 'Donnie Yen ']",84,86
33,Finding Dory,"['Andrew Stanton', ' Angus MacLane']","['Andrew Stanton', ' Victoria Strouse']","[""Ed O'Neill "", 'Dominic West ', 'Andrew Stanton ', 'Bennett Dammann ', 'Bob Peterson ']",94,84
34,Toy Story 4,['Josh Cooley'],"['Andrew Stanton', ' Stephany Folsom']","['Tom Hanks ', 'Tim Allen ', 'Annie Potts ', 'Keegan-Michael Key ', 'Jordan Peele ']",97,94
35,Toy Story 3,['Lee Unkrich'],"['Lee Unkrich', ' Andrew Stanton', ' John Lasseter', ' Michael Arndt']","['Tom Hanks ', 'Tim Allen ', 'Joan Cusack ', 'Ned Beatty ', 'Don Rickles ']",98,89
