,title,director,writers,top_5_billed,rotten_tomato_rating,audience_rating
258,National Treasure,['Jon Turteltaub'],"['Cormac Wibberley', ' Jim Kouf', ' Marianne Wibberley', ' Ted Elliott', ' Terry Rossio']","['Nicolas Cage ', 'Diane Kruger ', 'Justin Bartha ', 'Sean Bean ', 'Jon Voight ']",46,76
259,Django Unchained,['Quentin Tarantino'],['Quentin Tarantino'],"['Jamie Foxx ', 'Christoph Waltz ', 'Leonardo DiCaprio ', 'Samuel L. Jackson ', 'Walton Goggins ']",87,91
260,Little Fockers,['Paul Weitz'],"['Larry Stuckey', ' Paul Weitz', ' John Hamburg']","['Robert De Niro ', 'Ben Stiller ', 'Owen Wilson ', 'Blythe Danner ', 'Teri Polo ']",9,34
261,True Lies,"['James Cameron', ' Tony Scott']",['James Cameron'],"['Arnold Schwarzenegger ', 'Jamie Lee Curtis ', 'Tom Arnold ', 'Bill Paxton ', 'Tia Carrere ']",71,76
262,American Gangster,['Ridley Scott'],"['John Hawkes', ' Steven Zaillian']","['Denzel Washington ', 'Russell Crowe ', 'Josh Brolin ', 'Chiwetel Ejiofor ', 'Lymari Nadal ']",80,87
263,Eraser,['Chuck Russell'],"['Tony Puryear', ' Walon Green', ' Chuck Russell', ' Michael S. Chernuchin']","['Arnold Schwarzenegger ', 'James Caan ', 'Vanessa L. Williams ', 'James Coburn ', 'Robert Pastorelli ']",37,39
264,The Expendables 2,['Simon West'],"['Richard Wenk', ' Sylvester Stallone']","['Sylvester Stallone ', '', '', '', '']",68,67
265,Where the Wild Things Are,['Spike Jonze'],"['Dave Eggers', ' Spike Jonze']","['Max Records ', 'Catherine Keener ', 'Benicio Del ToroMark Ruffalo ', 'Steve Mouzakis ', 'Pepita Emmerichs ']",73,57
266,Eragon,['Stefen Fangmeier'],"['Peter Buchman', ' Stefen Fangmeier']","['Ed Speleers ', 'Jeremy Irons ', 'Sienna Guillory ', 'Robert Carlyle ', 'John Malkovich ']",16,47
267,Hercules,"['John Musker', ' Ron Clements']",['Ron Clements'],"['Tate Donovan ', 'Danny DeVito ', 'James Woods ', 'Susan Egan ', 'Bobcat Goldthwait ']",84,76
268,End of Days,['Peter Hyams'],"['Andrew W. Marlowe', ' Peter Hyams']","['Arnold Schwarzenegger ', 'Robin Tunney ', 'Gabriel Byrne ', 'Kevin Pollak ', 'Rod Steiger ']",11,32
269,Spies in Disguise,"['Troy Quane', ' Nick Bruno']","['Brad Copeland', ' Lloyd Taylor', ' Cindy Davis']","['Will Smith ', 'Tom Holland (II) ', 'Rashida Jones ', 'Ben Mendelsohn ', 'Reba McEntire ']",75,92
270,Blood Diamond,['Edward Zwick'],"['Edward Zwick', ' Charles Leavitt']","['Leonardo DiCaprio ', 'Jennifer Connelly ', 'Djimon Hounsou ', 'Kagiso Kuypers ', 'Arnold Vosloo ']",63,90
271,Midway,['Jack Smight'],['Donald S. Sanford'],"['Charlton Heston ', 'Henry Fonda ', 'James Coburn ', 'Glenn Ford ', 'Hal Holbrook ']",47,72
272,Starship Troopers,['Paul Verhoeven'],"['Edward Neumeier', ' Ed Neumeier', ' Anette Haellmigk']","['Casper Van Dien ', 'Dina Meyer ', 'Denise Richards ', 'Jake Busey ', 'Neil Patrick Harris ']",64,70
273,Wonder Park,"['Written By:Josh Appelbaum', ' André Nemec', ' Robert Gordon']","['In Theaters:Mar 15', ' 2019\xa0wide']",['Jennifer GarnerMatthew BroderickJohn OliverMila KunisKenan ThompsonKen JeongNorbert Leo ButzBrianna DenskiView All '],34,44
274,Catwoman,"['Pitof', ' Jean-Christopher Comar']","['John Rogers', ' John Brancato', ' Michael Ferris']","['Halle Berry ', 'Benjamin Bratt ', 'Sharon Stone ', 'Lambert Wilson ', 'Frances Conroy ']",9,18
275,The Expendables 3,['Patrick Hughes'],"['Katrin Benedikt', ' Sylvester Stallone', ' Creighton Rothenberger']","['Sylvester Stallone ', 'Jason Statham ', 'Antonio Banderas ', 'Jet Li ', 'Wesley Snipes ']",32,49
276,Treasure Planet,"['Ron Clements', ' John Musker']","['Sam Levine', ' Alex Mann', ' Ron Clements', ' John Musker', ' Rob Edwards']","['Joseph Gordon-Levitt ', 'Brian Murray ', 'Emma Thompson ', 'David Hyde Pierce ', 'Martin Short ']",69,72
277,Geostorm,['Dean Devlin'],"['Dean Devlin', ' Paul Guyot']","['Gerard Butler ', 'Jim Sturgess ', 'Abbie Cornish ', 'Alexandra Maria Lara ', 'Daniel Wu ']",16,35
278,Point Break,['Kathryn Bigelow'],"['Rick King', ' Kathryn Bigelow', ' W. Peter Iliff', ' James Cameron']","['Keanu Reeves ', 'Patrick Swayze ', 'Gary Busey ', 'Lori Petty ', 'John C. McGinley ']",69,79
279,In the Heart of the Sea,['Ron Howard'],"['Rick Jaffa', ' Amanda Silver', ' Peter Morgan', ' Charles Leavitt']","['Chris Hemsworth ', 'Benjamin Walker ', 'Cillian Murphy ', 'Ben Whishaw ', 'Brendan Gleeson ']",43,53
280,Son of the Mask,['Lawrence Guterman'],"['Lance Khazei', ' Lawrence Guterman']","['Jamie Kennedy ', 'Alan Cumming ', 'Bob Hoskins ', 'Traylor Howard ', 'Ben Stein ']",6,16
281,Mortal Engines,['Christian Rivers'],"['Peter Jackson', ' Philippa Boyens', ' Fran Walsh']","['Hugo Weaving ', 'Hera Hilmar ', 'Robert Sheehan ', 'Jihae', 'Ronan Raftery ']",26,49
282,The Adventures of Pluto Nash,['Ron Underwood'],['Neil Cuthbert'],"['Eddie Murphy ', 'Randy Quaid ', 'Rosario Dawson ', 'Joe Pantoliano ', 'Jay Mohr ']",4,19
283,Artemis Fowl,['Kenneth Branagh'],"['Conor McPherson', ' Hamish McColl']","['Ferdia Shaw ', 'Lara McDonnell ', 'Josh Gad ', 'Tamara Smart ', 'Nonso Anozie ']",9,20
284,The Peanuts Movie,['Steve Martino'],"['Bryan Schulz', ' Craig Schulz', ' Charles M. Schulz', ' Cornelius Uliano']","['Noah Schnapp ', 'Hadley Belle Miller ', 'Alexander Garfin ', 'Mariel Sheets ', 'Bill Melendez ']",87,76
285,The LEGO Movie 2: The Second Part,['Mike Mitchell'],"['Phil Lord', ' Christopher Miller']","['Chris Pratt ', 'Elizabeth Banks ', 'Will Arnett ', 'Tiffany Haddish ', 'Stephanie Beatriz ']",85,68
286,Ford v. Ferrari,['James Mangold'],"['Jez Butterworth', ' John-Henry Butterworth', ' Jason Keller']","['Matt Damon ', 'Christian Bale ', 'Jon Bernthal ', 'Caitriona Balfe ', 'Tracy Letts ']",92,98
287,Gangs of New York,['Martin Scorsese'],"['Jay Cocks', ' Steven Zaillian', ' Kenneth Lonergan']","['Leonardo DiCaprio ', 'Daniel Day-Lewis ', 'Cameron Diaz ', 'Jim Broadbent ', 'Liam Neeson ']",73,81
288,Alien: Covenant,['Ridley Scott'],"['John Logan', ' Dante Harper', ' Jack Paglen', ' Michael Green']","['Michael Fassbender ', 'Katherine Waterston ', 'Billy Crudup ', 'Demian Bichir ', 'Danny McBride (IV) ']",65,55
289,Cinderella,"['Clyde Geronimi', ' Wilfred Jackson', ' Hamilton Luske']","['Ken Anderson', ' Bill Peet', ' Erdman Penner', ' Ted Sears', ' Homer Brightman', ' Winston Hibler', ' Harry Reeves', ' Joe Rinaldi']","['Ilene Woods ', 'Eleanor Audley ', 'Verna Felton ', 'William Phipps ', 'Rhoda Williams ']",97,80
290,Ice Age: Continental Drift,"['Mike Thurmeier', ' Steve Martino']","['Michael Berg', ' Jason Fuchs']","['Ray Romano ', 'John Leguizamo ', 'Denis Leary ', 'Queen Latifah ', 'Seann William Scott ']",37,62
291,Black Hawk Down,['Ridley Scott'],['Ken Nolan'],"['Josh Hartnett ', 'Ewan McGregor ', 'Tom Sizemore ', 'Eric Bana ', 'Sam Shepard ']",76,88
292,Sex and the City 2,['Michael Patrick King'],['Michael Patrick King'],"['Sarah Jessica Parker ', 'Kim Cattrall ', 'Kristin Davis ', 'Cynthia Nixon ', 'John Corbett ']",16,43
293,The Campaign,['Jay Roach'],"['Adam McKay', ' Shane Harwell', ' Chris Henchy', ' Shawn Harwell']","['Will Ferrell ', 'Zach Galifianakis ', 'Jason Sudeikis ', 'Dylan McDermott ', 'Katherine LaNasa ']",66,51
294,The Fifth Element,['Luc Besson'],"['Luc Besson', ' Robert Mark Kamen']","['Bruce Willis ', 'Ian Holm ', 'Gary Oldman ', 'Chris Tucker ', 'Luke Perry ']",70,87
295,Seventh Son,['Sergey Bodrov'],"['Matt Greenberg', ' Aaron Guzikowski', ' Sergey Bodrov', ' Charles Leavitt', ' Steven Knight']","['Jeff Bridges ', '', 'Mother Malkin', 'Tom Ward', 'Alice']",12,34
296,Finding Nemo,"['Andrew Stanton', ' Lee Unkrich']","['Bob Peterson', ' David Reynolds', ' Andrew Stanton', ' Lee Unkrich']","['Albert Brooks ', 'Ellen DeGeneres ', 'Alexander Gould ', 'Willem Dafoe ', 'Brad Garrett ']",99,86
297,The Lord of the Rings: The Return of the King,['Peter Jackson'],"['Fran Walsh', ' Philippa Boyens', ' Peter Jackson']","['Elijah Wood ', 'Sean Astin ', 'Ian McKellen ', 'Andy Serkis ', 'Viggo Mortensen ']",93,86
298,The Lord of the Rings: The Two Towers,['Peter Jackson'],"['Philippa Boyens', ' Stephen Sinclair', ' Fran Walsh']","['Elijah Wood ', 'Ian McKellen ', 'Viggo Mortensen ', 'Sean Astin ', 'Liv Tyler ']",95,95
299,Lara Croft: Tomb Raider,['Simon West'],"['Mike Werb', ' Patrick Massett', ' John Zinman', ' Simon West', ' Michael Colleary']","['Angelina Jolie ', 'Iain Glen ', 'Jon Voight ', 'Daniel Craig ', 'Noah Taylor ']",20,47
300,Kingsman: The Secret Service,['Matthew Vaughn'],"['Matthew Vaughn', ' Jane Goldman']","['Taron Egerton ', '', '', 'Professor Arnold', 'Richmond Valentine, ']",75,84
301,Jurassic Park III,['Joe Johnston'],"['Jim Taylor (III) ', ' Alexander Payne', ' Peter Buchman']","['Sam Neill ', 'William H. Macy ', 'Téa Leoni ', 'Alessandro Nivola ', 'Trevor Morgan ']",49,36
302,Rise of the Planet of the Apes,['Rupert Wyatt'],"['Rick Jaffa', ' Amanda Silver']","['James Franco ', 'Freida Pinto ', 'Andy Serkis ', 'John Lithgow ', 'Brian Cox ']",82,77
303,A Good Day to Die Hard,['John Moore (VIII) '],['Skip Woods'],"['Jai Courtney ', 'Bruce Willis ', 'Sebastian Koch ', 'Mary Elizabeth Winstead ', 'Yuliya Snigir ']",15,40
304,Cutthroat Island,['Renny Harlin'],"['Robert King', ' Marc Norman']","['Geena Davis ', 'Matthew Modine ', 'Frank Langella ', 'Maury Chaykin ', 'Patrick Malahide ']",38,40
305,The Secret Life of Walter Mitty,['Ben Stiller'],['Steven Conrad'],"['Ben Stiller ', 'Kristen Wiig ', 'Patton Oswalt ', '', '']",51,71
306,Jumanji: Welcome to the Jungle,['Jake Kasdan'],"['Erik Sommers', ' Scott Rosenberg', ' Jeff Pinkner']","['Dwayne Johnson ', 'Jack Black ', 'Kevin Hart ', 'Karen Gillan ', 'Nick Jonas ']",76,87
307,Men in Black,['Barry Sonnenfeld'],['Ed Solomon'],"['Will Smith ', 'Tommy Lee Jones ', 'Linda Fiorentino ', ""Vincent D'Onofrio "", 'Rip Torn ']",92,79
308,Toy Story 2,['John Lasseter'],"['Doug Chamberlain', ' Rita Hsiao', ' Doug Chamberlin', ' Chris Webb', ' Ash Brannon', ' John Lasseter', ' Pete Docter', ' Andrew Stanton']","['Tim Allen ', 'Joan Cusack ', 'Kelsey Grammer ', 'Don Rickles ', 'Jim Varney ']",100,86
309,Rush Hour 2,['Brett Ratner'],"['Jeff Nathanson', ' John Rogers']","['Jackie Chan ', 'Chris Tucker ', 'John Lone ', 'Ziyi Zhang ', 'Roselyn Sanchez ']",52,74
310,Bad Boys For Life,"['Adil El Arbi', ' Bilall Fallah']","['Chris Bremner', ' Peter Craig', ' Joe Carnahan']","['Will Smith ', 'Martin Lawrence ', 'Vanessa Hudgens ', 'Alexander Ludwig ', 'Charles Melton ']",77,96
311,What Lies Beneath,['Robert Zemeckis'],"['Clark Gregg', ' Sarah Kernochan']","['Michelle Pfeiffer ', 'Harrison Ford ', 'Diana Scarwid ', 'James Remar ', 'Miranda Otto ']",46,58
312,Rio,['Carlos Saldanha'],"['Carlos Saldanha', ' Earl Richie Jones', ' Todd R. Jones', ' Don Rhymer', ' Joshua Sternin', ' Jeffrey Ventimilia', ' Sam Harper', ' Josh Sternin', ' Jeff Ventimilia']","['Anne Hathaway ', 'Jesse Eisenberg ', 'will.i.am ', 'Jamie Foxx ', 'George Lopez ']",72,71
313,The Departed,['Martin Scorsese'],"['William Monahan', ' Martin Scorsese']","['Leonardo DiCaprio ', 'Matt Damon ', 'Jack Nicholson ', 'Mark Wahlberg ', 'Martin Sheen ']",91,94
314,Mulan,"['Barry Cook', ' Tony Bancroft']","['Rita Hsiao', ' Chris Sanders', ' Philip LaZebnik', ' Raymond Singer', ' Eugenia Bostwick-Singer']","['Ming-Na Wen ', 'Eddie Murphy ', 'Lea Salonga ', 'B.D. Wong ', 'George TakeiDonny Osmond ']",86,85
315,Tropic Thunder,['Ben Stiller'],"['Justin Theroux', ' Etan Cohen', ' Ben Stiller']","['Jack Black ', 'Ben Stiller ', 'Robert Downey Jr. ', 'Jay Baruchel ', 'Steve Coogan ']",82,70
316,The Girl with the Dragon Tattoo,['David Fincher'],['Steven Zaillian'],"['Daniel Craig ', 'Rooney Mara ', 'Christopher Plummer ', 'Stellan Skarsgård ', 'Steven Berkoff ']",86,86
317,Die Hard: With a Vengeance,['John McTiernan'],['Jonathan Hensleigh'],"['Bruce Willis ', 'Jeremy Irons ', 'Samuel L. Jackson ', 'Graham Greene (II) ', 'Colleen Camp ']",57,83
318,The Magnificent Seven,['Antoine Fuqua'],"['Nic Pizzolatto', ' Richard Wenk', ' Antoine Fuqua']","['Denzel Washington ', 'Chris Pratt ', 'Ethan Hawke ', ""Vincent D'Onofrio "", 'Lee Byung-hun ']",64,72
319,Alvin and the Chipmunks: The Road Chip,['Walt Becker'],"['Adam Sztykiel', ' Randi Mayem Singer', ' Ross Bagdasarian Sr.']","['Justin Long ', 'Matthew Gray Gubler ', 'Jesse McCartney ', 'Kaley Cuoco ', 'Christina Applegate ']",15,51
320,Atlantis: The Lost Empire,"['Gary Trousdale', ' Kirk Wise']","['Joss Whedon', ' Kirk Wise', ' Tab Murphy', ' Bruce Zabel', ' Jackie Zabel']","['Michael J. Fox ', 'James Garner ', 'Cree Summer ', 'Don Novello ', 'Phil Morris ']",49,53
321,Valkyrie,['Bryan Singer'],"['Christopher McQuarrie', ' Nathan Alexander']","['Tom Cruise ', 'Kenneth Branagh ', 'Bill Nighy ', 'Tom Wilkinson ', 'Carice van Houten ']",62,65
322,Pixels,['Chris Columbus'],"['Adam Sandler', ' Chris Columbus', ' Tim Herlihy', ' Timothy Dowling']","['Adam Sandler ', 'Peter Dinklage ', '', 'Prezydent Will Cooper', 'Lt. Col. Violet Van Patten']",17,46
323,Hollow Man,['Paul Verhoeven'],['Andrew W. Marlowe'],"['Kevin Bacon ', 'Elisabeth Shue ', 'Josh Brolin ', 'Kim Dickens ', 'Greg Grunberg ']",27,28
324,Percy Jackson: Sea of Monsters,['Thor Freudenthal'],"['Larry Karaszewski', ' Scott Alexander', ' Marc Guggenheim']","['Logan Lerman ', 'Brandon T. Jackson ', 'Alexandra Daddario ', 'Nathan Fillion ', 'Jake Abel ']",42,55
325,Lara Croft: Tomb Raider: The Cradle of Life,['Jan de Bont'],['Dean Georgaris'],"['Angelina Jolie ', 'Gerard Butler ', 'Ciarán Hinds ', 'Chris Barrie ', 'Noah Taylor ']",24,44
326,Now You See Me 2,['Jon M. Chu'],['Ed Solomon'],"['Jesse Eisenberg ', 'Mark Ruffalo ', 'Woody Harrelson ', 'Lizzy Caplan ', 'Daniel Radcliffe ']",33,53
327,Spy Game,['Tony Scott'],"['David Arata', ' Michael Frost Beckner']","['Robert Redford ', 'Brad Pitt ', 'Catherine McCormack ', 'Stephen Dillane ', 'Larry Bryggman ']",66,75
328,Mission to Mars,['Brian DePalma'],"['Jim Thomas', ' Graham Yost', ' Lowell Cannon', ' Ted Tally']","['Gary Sinise ', 'Tim Robbins ', 'Don Cheadle ', 'Connie Nielsen ', ""Jerry O'Connell ""]",24,30
329,Bicentennial Man,['Chris Columbus'],['Nicholas Kazan'],"['Robin Williams ', 'Sam Neill ', 'Embeth Davidtz ', 'Oliver Platt ', 'Wendy Crewson ']",36,58
330,Volcano,['Roman Bondarchuk'],"['Alla Tyutyunnyk', ' Roman Bondarchuk', "" Dar'ya Averchenko""]","['Serhiy Stepansky ', 'Viktor Zhdanov ', 'Khrystyna Deilyk ', '']",80,86
331,Conan the Barbarian,['John Milius'],"['John Milius', ' Oliver Stone']","['Arnold Schwarzenegger ', 'James Earl Jones ', 'Max von Sydow ', 'Sandahl Bergman ', 'Ben Davidson ']",66,74
332,The Nutcracker in 3D,['Andrey Konchalovskiy'],"['Andrey Konchalovskiy', ' Chris Solimine']","['Elle Fanning ', 'Nathan Lane ', 'Frances de la Tour ', 'John Turturro ', 'Richard E. Grant ']",0,27
333,Bright,['David Ayer'],['Max Landis'],"['Will Smith ', 'Joel Edgerton ', 'Noomi RapaceLucy Fry ', 'Edgar RamirezIke BarinholtzEnrique MurcianoJay HernandezAndrea NavedoVan Veronica NgoAlex MerazMargaret ChoBrad William HenkeDawn OlivieriKenneth ChoiView All ']",28,83
334,Cinderella Man,['Ron Howard'],"['Ron Howard', ' Akiva Goldsman', ' Cliff Hollingsworth', ' C. Gaby Mitchell']","['Russell Crowe ', 'Renée Zellweger ', 'Paul Giamatti ', 'Craig Bierko ', 'Paddy Considine ']",80,91
335,Fantastic Four,['Tim Story'],"['Mark Frost', ' Michael France', ' Carl Johansen']","['Jessica Alba ', 'Chris Evans ', 'Michael Chiklis ', 'Ioan Gruffudd ', 'Julian McMahon ']",27,45
336,Seabiscuit,['Gary Ross'],['Gary Ross'],"['Tobey Maguire ', 'Jeff Bridges ', 'Chris Cooper ', 'Elizabeth Banks ', 'William H. Macy ']",78,76
337,Cast Away,['Robert Zemeckis'],['William Broyles'],"['Tom Hanks ', 'Helen Hunt ', 'Nick Searcy ', 'Lari White ', 'Geoffrey Blake ']",88,84
338,Happy Feet,"['George Miller', ' Warren Coleman', ' Judy Morris']","['George Miller', ' John Collee', ' Warren Coleman', ' Judy Morris']","['Elijah Wood ', 'Robin Williams ', 'Hugh Jackman ', 'Nicole Kidman ', 'Brittany Murphy ']",76,70
339,Air Force One,['Wolfgang Petersen'],['Andrew W. Marlowe'],"['Gary Oldman ', 'Harrison Ford ', 'Glenn Close ', 'Wendy Crewson ', 'Paul Guilfoyle (II) ']",76,66
340,Divergent,['Neil Burger'],"['Vanessa Taylor', ' Evan Daugherty']","['Shailene Woodley ', 'Theo James ', 'Kate Winslet ', 'Ansel Elgort ', 'Ray Stevenson ']",41,69
341,Hotel Transylvania,['Genndy Tartakovsky'],"['Don Rhymer', ' Peter Baynham', ' Robert Smigel']","['Adam Sandler ', 'Selena Gomez ', 'Andy Samberg ', 'Kevin James ', 'Fran Drescher ']",44,72
342,Enchanted,['Kevin Lima'],"['In Theaters:Nov 21', ' 2007\xa0wide']","['Amy Adams ', 'Patrick Dempsey ', 'Susan Sarandon ', 'James Marsden ', 'Idina Menzel ']",93,80
343,I Now Pronounce You Chuck and Larry,['Dennis Dugan'],"['Alexander Payne', ' Barry Fanaro', ' Jim Taylor (III) ', ' James Taylor']","['Adam Sandler ', 'Kevin James ', 'Jessica Biel ', 'Dan Aykroyd ', 'Ving Rhames ']",15,69
344,Enemy of the State,['Tony Scott'],['David Marconi'],"['Will Smith ', 'Gene Hackman ', 'Regina King ', 'Jon Voight ', 'Lisa Bonet ']",72,78
345,Open Season,"['Roger Allers', ' Jill Culton', ' Anthony Stacchi']","['Steve Bencich', ' Ron J. Friedman', ' Nat Mauldin', ' Anthony Stacchi', ' Jill Culton']","['Jon Favreau ', 'Jack McGee ', 'Michelle Murdocca ', 'Fergal Reilly ', 'Martin Lawrence ']",48,57
346,Tower Heist,['Brett Ratner'],"['Adam Cooper', ' Jeff Nathanson', ' Ted Griffin']","['Ben Stiller ', 'Eddie Murphy ', 'Casey Affleck ', 'Alan Alda ', 'Matthew Broderick ']",67,48
347,102 Dalmatians,['Kevin Lima'],"['Kristen Buckley', ' Noni White', ' Bob Tzudiker', ' Brian Regan', ' Kevin Lima']","['Glenn Close ', 'Gérard Depardieu ', 'Ioan Gruffudd ', 'Alice Evans ', 'Ian Richardson ']",31,32
348,The Holiday,['Nancy Meyers'],['Nancy Meyers'],"['Cameron Diaz ', 'Kate Winslet ', 'Jude Law ', 'Jack Black ', 'Eli Wallach ']",49,80
349,Memoirs of a Geisha,['Rob Marshall'],['Robin Swicord'],"['Ziyi Zhang ', 'Ken Watanabe ', 'Michelle Yeoh ', 'Li Gong ', 'Koji Yakusho ']",35,83
350,Enemy at the Gates,['Jean-Jacques Annaud'],"['Alain Godard', ' Jean-Jacques Annaud']","['Jude Law ', 'Joseph Fiennes ', 'Ed Harris ', 'Rachel Weisz ', 'Bob Hoskins ']",54,82
351,Last Action Hero,['John McTiernan'],"['Zak Penn', ' Adam Leff', ' David Arnott', ' Shane Black', ' John McTiernan']","['Arnold Schwarzenegger ', ""Austin O'Brien "", 'F. Murray Abraham ', 'Art Carney ', 'Charles Dance ']",36,47
352,The Rundown,['Peter Berg'],"['James Vanderbilt', ' R.J. Stewart', ' Peter Berg']","['Dwayne Johnson ', 'Seann William Scott ', 'Christopher Walken ', 'Rosario Dawson ', 'Ewen Bremner ']",69,66
353,Arthur Christmas,"['Sarah Smith', ' Barry Cook']","['Peter Baynham', ' Sarah Smith']","['James McAvoy ', 'Hugh Laurie ', 'Bill Nighy ', 'Jim Broadbent ', 'Imelda Staunton ']",92,76
354,xXx: Return of Xander Cage,['D.J. Caruso'],"['In Theaters:Jan 20', ' 2017\xa0wide']","['Vin Diesel ', 'Donnie Yen ', 'Deepika Padukone ', 'Tony Jaa ', 'Ruby Rose ']",45,37
355,Meet Joe Black,['Martin Brest'],"['Ron Osborn', ' Jeff Reno', ' Kevin Wade', ' Bo Goldman']","['Brad Pitt ', 'Anthony Hopkins ', 'Claire Forlani ', 'Jake Weber ', 'Marcia Gay Harden ']",53,81
356,Judge Dredd,['Danny Cannon'],"['Steven E. de Souza', ' William Wisher Jr.', ' Danny Cannon', ' Michael De Luca', ' John Fasano', ' Walon Green']","['Sylvester Stallone ', 'Armand Assante ', 'Diane Lane ', 'Rob Schneider ', 'Joan Chen ']",19,30
357,Zodiac,['David Fincher'],['James Vanderbilt'],"['Jake Gyllenhaal ', 'Mark Ruffalo ', 'Robert Downey Jr. ', 'Anthony Edwards ', 'Brian Cox ']",89,77
358,Scott Pilgrim vs. The World,['Edgar Wright'],"['Michael Bacall', ' Edgar Wright']","['Michael Cera ', 'Mary Elizabeth Winstead ', 'Kieran Culkin ', 'Chris Evans ', 'Anna Kendrick ']",82,84
359,The Greatest Showman,"['Written By:Jenny Bicks', ' Bill Condon']","['In Theaters:Dec 20', ' 2017\xa0wide']","['Hugh Jackman ', 'Zac Efron ', 'Rebecca Ferguson ', 'Zendaya ', 'Paul Sparks ']",56,86
360,Nutty Professor II: The Klumps,['Peter Segal'],"['Barry W. Blaustein', ' Paul Weitz', ' Chris Weitz', ' David Sheffield', ' Peter Segal']","['Eddie Murphy ', 'Janet Jackson ', 'Larry Miller ', 'John Ales ', 'Richard Gant ']",26,33
361,RED 2,['Dean Parisot'],"['Jon Hoeber', ' Erich Hoeber']","['Bruce Willis ', 'John Malkovich ', 'Mary-Louise Parker ', 'Helen Mirren ', 'Anthony Hopkins ']",44,63
362,Click,['Frank Coraci'],"['Steve Koren', "" Mark O'Keefe""]","['Adam Sandler ', 'Kate Beckinsale ', 'Christopher Walken ', 'David Hasselhoff ', 'Henry Winkler ']",34,66
363,Jumper,['Doug Liman'],"['Simon Kinberg', ' David S. Goyer', ' Jim Uhls']","['Hayden Christensen ', 'Jamie Bell ', 'Samuel L. Jackson ', 'Rachel Bilson ', 'Diane Lane ']",15,44
364,The Longest Yard,['Peter Segal'],"['Tracey Keenan Wynn', ' Sheldon Turner']","['Adam Sandler ', 'Chris Rock ', 'Burt Reynolds ', 'James Cromwell ', 'Walter Williamson ']",31,62
365,The Expendables,['Sylvester Stallone'],"['Dave Callaham', ' Sylvester Stallone']","['Sylvester Stallone ', 'Jason Statham ', 'Jet Li ', 'Dolph Lundgren ', 'Eric Roberts ']",42,64
366,The 6th Day,['Roger Spottiswoode'],"['Marianne Wibberly', ' Cormac Wibberley', ' Marianne Wibberley', ' Cormac Wibberly']","['Arnold Schwarzenegger ', 'Michael Rapaport ', 'Tony Goldwyn ', 'Michael Rooker ', 'Wendy Crewson ']",41,32
367,Bruce Almighty,['Tom Shadyac'],"[""Mark O'Keefe"", ' Steve Koren', ' Steve Oedekerk']","['Jim Carrey ', 'Morgan Freeman ', 'Jennifer Aniston ', 'Philip Baker Hall ', 'Catherine Bell ']",48,57
368,The Hunger Games,['Gary Ross'],"['Billy Ray', ' Suzanne Collins', ' Gary Ross']","['Jennifer Lawrence ', 'Josh Hutcherson ', 'Liam Hemsworth ', 'Woody Harrelson ', 'Elizabeth Banks ']",84,81
369,The Hangover Part II,['Todd Phillips'],"['Todd Phillips', ' Craig Mazin', ' Scot Armstrong']","['Bradley Cooper ', 'Ed Helms ', 'Zach Galifianakis ', 'Justin Bartha ', 'Ken Jeong ']",33,52
370,Mission: Impossible,['Brian DePalma'],"['Robert Towne', ' David Koepp', ' Brian DePalma', ' Gloria Katz', ' Steven Zaillian', ' Willard Huyck']","['Tom Cruise ', 'Jon Voight ', 'Emmanuelle Béart ', 'Henry Czerny ', 'Jean Reno ']",64,71
371,The Lego Batman Movie,['Chris McKay'],"['Seth Grahame-Smith', ' Chris McKenna (II)', ' Erik Sommers', ' Jared Stern', ' John Whittington']","['Michael Cera ', 'Mariah Carey ', '', '', '']",90,80
372,Hotel Transylvania 2,['Genndy Tartakovsky'],"['Robert Smigel', ' Adam Sandler']","['Adam Sandler ', 'Selena Gomez ', 'Mel Brooks ', 'Kevin James ', 'Steve Buscemi ']",56,64
373,Batman Returns,['Tim Burton'],"['Daniel Waters', ' Sam Hamm', ' Wesley Strick']","['Michael Keaton ', 'Danny DeVito ', 'Michelle Pfeiffer ', 'Christopher Walken ', 'Michael Gough ']",80,73
374,The Secret Life of Pets 2,"['Chris Renaud', ' Jonathan Del Val']",['Brian Lynch'],"['Kevin Hart ', 'Tiffany Haddish ', 'Harrison Ford ', 'Patton Oswalt ', 'Eric Stonestreet ']",60,90
375,Over the Hedge,"['Tim Johnson', ' Karey Kirkpatrick']","['Karey Kirkpatrick', ' Len Blum', ' Lorne Cameron', ' David Hoselton']","['Bruce Willis ', 'Garry Shandling ', 'Steve Carell ', 'William Shatner ', 'Wanda Sykes ']",75,71
376,Deep Impact,['Mimi Leder'],"['Bruce Joel Rubin', ' Michael Tolkin']","['Robert Duvall ', 'Téa Leoni ', 'Elijah Wood ', 'Vanessa Redgrave ', 'Maximilian Schell ']",45,43
377,Grown Ups 2,['Dennis Dugan'],"['Tim Herlihy', ' Dennis Dugan', ' Adam Sandler']","['Kevin James ', 'Adam Sandler ', 'Chris Rock ', 'David Spade ', 'Salma Hayek ']",7,53
378,Alvin and the Chipmunks: Chipwrecked,['Mike Mitchell'],"['Glenn Berger', ' Jonathan Aibel']","['Jason Lee ', 'Justin Long ', 'Jesse McCartney ', 'Anna Faris ', 'Christina Applegate ']",12,51
