_id,title,rotten_tomato_rating,audience_rating,director,writers,top_5_billed
5f184ef7eec2a42d5d9ccea7,Hugo,93%,78%,['Martin Scorsese'],['John Logan'],"['Ben Kingsley ', 'Sacha Baron Cohen ', 'Asa Butterfield ', 'Chloë Grace Moretz', 'Ray Winstone ']"
5f184f00eec2a42d5d9ccea8,Valerian and the City of a Thousand Planets,48%,53%,['Luc Besson'],['Luc Besson'],"['Dane DeHaan ', 'Cara Delevingne ', 'Clive Owen ', 'Rihanna ', 'Ethan Hawke ']"
5f184f06eec2a42d5d9ccea9,Jupiter Ascending,27%,38%,"['Lana Wachowski', ' Lilly Wachowski']","['Lana Wachowski', ' Lilly Wachowski']","['Mila Kunis ', 'Channing Tatum ', '', '', '']"
5f184f12eec2a42d5d9cceaa,X-Men: Apocalypse,47%,65%,"['In Theaters:May 27', ' 2016\xa0wide']","['On Disc/Streaming:Oct 4', ' 2016']","['Oscar Isaac ', 'Lana Condor ', 'Ben Hardy ', 'Abdulla Hamam ', 'Hesham Hammoud ']"
5f184f1deec2a42d5d9cceab,The Meg,46%,42%,['Jon Turteltaub'],"['Dean Georgaris', ' Jon Hoeber', ' Erich Hoeber']","['Jason Statham ', 'Bingbing Li ', 'Winston Chao ', 'Rainn Wilson ', 'Ruby Rose ']"
5f184f28eec2a42d5d9cceac,Edge of Tomorrow,91%,90%,['Doug Liman'],"['Dante Harper', ' Joby Harold', ' Christopher McQuarrie', ' Jez Butterworth', ' John-Henry Butterworth']","['Tom Cruise ', 'Emily Blunt ', 'Bill Paxton ', 'Jonas Armstrong ', 'Tony Way ']"
5f184f33eec2a42d5d9ccead,Captain Marvel,78%,48%,"['Anna Boden', ' Ryan Fleck']","['Anna Boden', ' Ryan Fleck', ' Geneva Robertson-Dworet']","['Brie Larson ', 'Samuel L. Jackson ', 'Ben Mendelsohn ', 'Djimon Hounsou ', 'Lee Pace ']"
5f184f4beec2a42d5d9cceae,Spider-Man: Homecoming,92%,87%,['Jon Watts'],"['Jonathan M. Goldstein', ' John Francis Daley', ' Jon Watts', ' Christopher Ford', ' Chris McKenna (II)', ' Erik Sommers']","['Tom Holland (II) ', 'Michael Keaton ', 'Robert Downey Jr. ', 'Gwyneth Paltrow ', 'Zendaya ']"
5f184f65eec2a42d5d9cceaf,Up,98%,90%,"['Linn Patrick', ' Pete Docter', ' Bob Peterson']","['Bob Peterson', ' Pete Docter', ' Tom McCarthy', ' Ronnie del Carmen']","['Luis Varela ', 'Matías Prats ', 'Miguel de la Quadra-Salcedo ', 'Sebastián Álvaro ', 'Claudio Rodríguez ']"
5f184f78eec2a42d5d9cceb0,Ralph Breaks The Internet,88%,65%,"['Phil Johnston', ' Rich Moore']","['Phil Johnston', ' Pamela Ribon']","['John C. Reilly ', 'Sarah Silverman ', 'Gal Gadot ', 'Jack McBrayer ', 'Jane Lynch ']"
5f184f7feec2a42d5d9cceb1,Monsters vs. Aliens,73%,59%,['Robert Porter'],"['In Theaters:Mar 27', ' 2009\xa0wide']","['Seth Rogen ', 'James Horan ', 'David Kaye ', 'Julie White ', 'Kiefer Sutherland ']"
